OTU	Domain	Phylum	Class	Order	Family	Genus	Species
Zotu824	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
Zotu2485	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu422	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella sp. oral taxon 780
Zotu843	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	uncultured organism
Zotu2463	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	?
Zotu294	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
Zotu808	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
Zotu2474	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	?
Zotu849	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Diaphorobacter	?
Zotu524	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	?
Zotu1332	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	?
Zotu1047	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
Zotu307	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2611	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	?
Zotu877	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	?
Zotu878	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	?
Zotu840	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	?	?	?
Zotu1639	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
Zotu2335	Bacteria	Verrucomicrobiota	Lentisphaeria	?	?	?	?
Zotu888	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera stantonii
Zotu896	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	?
Zotu2345	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu906	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	?	?	?
Zotu910	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
Zotu917	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	?
Zotu2618	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	?
Zotu926	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	?	?
Zotu1151	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
Zotu887	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium imitans
Zotu1173	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	?
Zotu940	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	?	?
Zotu937	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group	?
Zotu1660	Eukaryota	Phragmoplastophyta	Embryophyta	?	?	?	?
Zotu1016	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	?
Zotu275	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu2082	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia coli
Zotu966	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	?
Zotu2252	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1597	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	?
Zotu312	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	?
Zotu45	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	uncultured organism
Zotu967	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uncultured organism
Zotu1189	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu969	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	?
Zotu2858	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
Zotu1804	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	?	?	?
Zotu975	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Psychroglaciecola	Psychroglaciecola arctica
Zotu977	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	?	?	?
Zotu2621	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
Zotu372	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
Zotu982	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
Zotu704	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
Zotu943	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	?
Zotu2317	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
Zotu138	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
Zotu381	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	?
Zotu1506	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	?
Zotu43	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	?
Zotu985	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	?
Zotu1117	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
Zotu995	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	?
Zotu1118	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1006	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	?
Zotu931	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1021	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
Zotu1681	Bacteria	Firmicutes	?	?	?	?	?
Zotu1022	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. Marseille-P3108
Zotu823	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	?
Zotu1029	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uncultured Bacteroides sp.
Zotu2663	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1032	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum intestinale
Zotu2803	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
Zotu2353	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	?
Zotu1034	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	?
Zotu510	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1663	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	?
Zotu1046	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae NK3B31 group	?
Zotu105	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
Zotu1052	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
Zotu1053	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	?	?
Zotu1895	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307	uncultured cyanobacterium
Zotu1120	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
Zotu1683	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1051	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	?
Zotu1017	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylobacillus	?
Zotu1216	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter sp. LA61
Zotu1031	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
Zotu1625	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1075	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caecimuris
Zotu801	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1079	Bacteria	Proteobacteria	Alphaproteobacteria	Caedibacterales	Caedibacteraceae	Candidatus Nucleicultrix	metagenome
Zotu2797	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1077	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	?
Zotu1085	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	?
Zotu588	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	?
Zotu1554	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	?	?
Zotu1101	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	?	?
Zotu726	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	?
Zotu1454	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	uncultured organism
Zotu1089	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1924	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	?
Zotu175	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
Zotu1111	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GCA-900066575	?
Zotu2598	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1003	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1096	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	?
Zotu1123	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-004	?
Zotu1568	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
Zotu1122	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Johnsonella	?
Zotu1133	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter sp. LA61
Zotu1415	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1140	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	Eubacterium sp. Marseille-P3202
Zotu2142	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	?
Zotu1105	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	?
Zotu1293	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	?
Zotu1146	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Beutenbergiaceae	?	?
Zotu1143	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	uncultured rumen bacterium
Zotu258	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
Zotu293	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
Zotu636	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	?
Zotu1165	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	?	?
Zotu1403	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	?
Zotu1177	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
Zotu1127	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	?
Zotu776	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1171	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
Zotu1181	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter sp. LA61
Zotu2187	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1579	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu590	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1139	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	Duganella sp. CGMCC 1.9685
Zotu605	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	?
Zotu1551	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	?
Zotu1219	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	uncultured Candidatus Saccharibacteria bacterium	?
Zotu993	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu521	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu394	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2843	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Eikenella	Eikenella sp. NML01-A-086
Zotu1390	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	?
Zotu2818	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu111	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
Zotu47	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	?
Zotu1206	Bacteria	Proteobacteria	Gammaproteobacteria	?	?	?	?
Zotu499	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga leadbetteri
Zotu214	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
Zotu1457	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Brochothrix	Brochothrix thermosphacta
Zotu1163	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
Zotu1586	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	Candidatus Fonsibacter ubiquis	?
Zotu919	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
Zotu1023	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
Zotu1214	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	?	?	?
Zotu1218	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
Zotu2003	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Cardiobacterium	Cardiobacterium valvarum
Zotu1514	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	?	?
Zotu1044	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu2951	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	?
Zotu1535	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	?	?	?
Zotu1444	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1176	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	?	?
Zotu1226	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	?
Zotu1235	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	?
Zotu1090	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu2397	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
Zotu1247	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	?
Zotu2089	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Cardiobacterium	Cardiobacterium sp. Auto5
Zotu1251	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	?
Zotu2053	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges	?
Zotu951	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	?
Zotu1253	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	metagenome
Zotu1110	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1215	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	?
Zotu1419	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?
Zotu1886	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
Zotu1287	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	?
Zotu1335	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu1291	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	?
Zotu1237	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	?	?
Zotu2456	Bacteria	Patescibacteria	Gracilibacteria	Gracilibacteria bacterium oral taxon 873	?	?	?
Zotu2542	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	?	?	?
Zotu2354	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	?
Zotu1306	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001	?
Zotu619	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
Zotu1326	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	?	?	?
Zotu2736	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	?	?
Zotu1342	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] xylanophilum group	?
Zotu1087	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu62	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	?
Zotu1347	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	?	Clostridium phoceensis
Zotu1367	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?
Zotu122	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	?
Zotu1369	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	TRA3-20	?	?
Zotu1312	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piger
Zotu1368	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	?
Zotu1372	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	gut metagenome
Zotu1402	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	metagenome	?
Zotu71	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
Zotu1412	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	?	?	?
Zotu1393	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	?
Zotu1733	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	?
Zotu87	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
Zotu1410	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	?
Zotu1417	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	Veillonella sp. oral taxon 780
Zotu1437	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?
Zotu733	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
Zotu1429	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	?
Zotu1420	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	?
Zotu1615	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	?
Zotu1043	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu1441	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	uncultured organism
Zotu1445	Bacteria	Chloroflexi	KD4-96	?	?	?	?
Zotu1718	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Domibacillus	?
Zotu1407	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	?	?
Zotu1309	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	metagenome	?
Zotu1469	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Nevskia	?
Zotu918	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
Zotu1456	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
Zotu322	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter sp. LA61
Zotu1413	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	?	?
Zotu211	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1432	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	metagenome
Zotu409	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
Zotu1486	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	?
Zotu1491	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	?
Zotu1475	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
Zotu2094	Bacteria	Firmicutes	Clostridia	?	?	?	?
Zotu968	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	?
Zotu1503	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
Zotu1509	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	uncultured Lachnospiraceae bacterium
Zotu1452	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	?
Zotu862	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella nigrescens
Zotu1525	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	?
Zotu1538	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
Zotu1537	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	?
Zotu1605	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
Zotu1815	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	metagenome
Zotu2445	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	metagenome	?
Zotu145	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
Zotu1532	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
Zotu408	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Antricoccus	?
Zotu1494	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	Dietzia timorensis
Zotu1541	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	uncultured eubacterium WD2124
Zotu1527	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	uncultured Acidobacteria bacterium	?
Zotu2571	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	CAG-352	uncultured organism
Zotu1272	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	?	?	?
Zotu1553	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Dermabacter	?
Zotu1564	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	?
Zotu1642	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	?	?	?
Zotu792	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uncultured Bacteroidales bacterium
Zotu1502	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas kaohsiungensis
